"","x"
"4137",1
"1807",2
"6971",1
"6251",2
"52",1
"4803",3
"3538",1
"166",3
"6668",3
"2947",3
"6118",2
"2127",3
"786",1
"5741",3
"7849",3
"5343",2
"3116",3
"5825",3
"4212",3
"1584",3
"3250",2
"4345",1
"122",3
"3226",3
"141",3
"4297",3
"7399",2
"3213",3
"714",3
"5442",1
"6162",1
"7",3
"7909",3
"5961",3
"1781",3
"5649",3
"7204",2
"4790",3
"2522",1
"1468",3
"2159",2
"3537",2
"1064",2
"6960",3
"7393",3
"7543",3
"5490",2
"3742",3
"5557",3
"7565",3
"7772",2
"2740",3
"4471",2
"3503",3
"5028",3
"948",3
"1131",1
"6810",3
"7870",3
"2423",1
"1384",3
"5697",3
"1107",3
"4485",2
"4647",3
"5213",3
"2392",3
"6449",3
"1784",1
"130",2
"2910",1
"7145",3
"4810",3
"2146",3
"1425",1
"1337",1
"7402",2
"6976",3
"1766",1
"1409",1
"4253",3
"5460",3
"2000",1
"1939",3
"7930",3
"2748",2
"5263",3
"6577",3
"3200",1
"2081",2
"4389",2
"1743",1
"5322",1
"4922",2
"799",3
"4083",3
"4159",1
"3918",3
"1549",1
"4959",3
"7655",2
"884",1
"6145",3
"5944",1
"2590",3
"7926",3
"4775",3
"4978",3
"7184",1
"1787",1
"7159",3
"5798",3
"1892",3
"5980",3
"3464",3
"80",3
"7595",1
"2709",2
"3540",1
"7056",3
"1887",1
"32",3
"7646",2
"473",3
"6707",3
"5532",2
"6039",2
"4479",1
"6244",1
"5067",2
"5231",3
"3225",3
"492",1
"28",3
"2170",3
"4357",3
"8160",1
"6891",3
"1727",1
"7555",2
"5775",3
"2904",3
"2062",1
"4888",3
"5608",2
"3145",3
"3007",3
"1433",3
"5056",1
"3954",3
"6609",1
"6986",2
"8029",3
"3469",3
"101",3
"4739",3
"6821",3
"3443",3
"1259",2
"7687",2
"51",3
"2708",1
"296",3
"6344",3
"1822",3
"5397",3
"3783",3
"7407",1
"4214",2
"685",3
"6809",1
"4375",1
"7925",3
"7721",3
"6678",3
"2481",3
"2234",3
"1225",3
"3865",3
"1958",3
"943",3
"5162",2
"6617",3
"7499",3
"2619",3
"202",3
"6133",3
"1537",2
"3692",3
"1603",1
"3474",1
"7108",3
"4896",3
"6271",3
"1205",3
"121",2
"5452",3
"6076",1
"6011",2
"1667",2
"2203",3
"118",3
"1552",2
"3385",3
"2462",1
"4533",1
"7803",3
"8035",3
"1683",2
"4742",3
"305",3
"1604",1
"4100",3
"6448",3
"4202",3
"718",3
"2794",2
"969",3
"1842",3
"819",3
"1860",3
"4429",3
"6439",2
"6002",3
"7958",3
"6055",2
"2120",3
"3484",3
"5151",3
"5188",3
"5971",3
"5037",1
"5797",2
"6509",3
"7119",2
"3821",2
"5631",1
"8151",3
"7599",3
"8068",3
"7745",1
"5599",3
"5582",1
"7804",3
"1526",3
"6576",3
"7844",3
"3856",3
"2829",3
"4519",3
"4373",3
"6691",3
"2640",3
"6279",1
"2704",3
"2265",3
"7737",3
"3736",3
"5862",3
"4095",2
"4006",3
"5303",3
"2099",1
"8061",3
"4002",3
"4211",3
"6295",1
"1389",3
"1477",1
"5849",3
"2407",3
"6600",3
"6121",1
"58",1
"4635",2
"120",2
"5388",3
"6325",1
"5899",3
"6435",3
"5795",3
"1724",3
"7709",1
"5676",3
"4249",3
"3138",2
"5621",3
"7584",3
"1965",3
"5237",2
"5065",3
"6989",3
"4868",1
"2498",3
"1525",3
"4286",1
"4367",3
"2132",3
"2205",3
"2936",3
"6004",3
"85",2
"5667",2
"893",3
"5574",3
"4072",3
"3727",2
"5311",3
"6726",3
"2741",3
"4705",2
"6391",2
"1223",1
"8039",3
"7626",3
"8145",3
"1581",1
"2760",3
"4093",1
"6769",3
"6889",3
"6991",2
"4268",3
"2742",3
"7663",3
"2207",2
"3059",3
"7813",3
"1089",3
"6284",3
"1268",1
"1098",1
"393",3
"850",3
"6985",3
"5082",3
"342",3
"6859",1
"5169",3
"3576",3
"6303",2
"533",1
"6633",3
"2369",3
"2516",2
"6540",2
"638",3
"3316",2
"2316",3
"2750",1
"5763",3
"3430",3
"7367",3
"504",3
"373",2
"254",3
"1817",1
"4994",2
"1182",3
"46",1
"956",2
"2387",2
"3033",2
"7619",1
"4741",3
"4957",2
"377",3
"4620",3
"683",1
"6336",3
"4822",2
"6482",3
"2005",3
"5059",3
"790",3
"1204",1
"6387",1
"6915",3
"7375",2
"5833",3
"7576",2
"933",3
"4074",3
"5595",1
"7072",3
"4421",3
"5611",3
"4376",2
"2031",2
"5832",3
"7432",3
"4996",3
"2838",1
"7276",3
"4674",2
"7047",2
"2920",2
"3193",2
"111",2
"7633",3
"6452",3
"6427",3
"297",3
"7346",3
"5197",3
"7291",3
"3129",3
"1754",3
"4941",3
"1630",3
"5591",2
"5655",1
"2414",1
"1163",1
"905",2
"1996",3
"5882",3
"2064",1
"6973",2
"7419",2
"7520",1
"5904",1
"1200",1
"7978",2
"7317",3
"981",3
"303",3
"5990",1
"6551",1
"4630",3
"5947",2
"3175",1
"2985",3
"1768",3
"7357",2
"6119",2
"3290",3
"3583",3
"7342",1
"7410",1
"7754",1
"6408",2
"5782",2
"2763",3
"538",3
"3449",3
"2591",3
"3219",2
"5286",3
"5963",3
"5805",3
"2566",1
"5142",3
"3441",2
"5333",3
"4315",3
"1325",3
"2262",3
"4850",3
"3979",3
"6887",1
"6787",3
"5232",3
"408",1
"5459",2
"2915",3
"7851",1
"1782",2
"5412",2
"4078",2
"6676",3
"2578",1
"4933",2
"4722",3
"7570",2
"1289",2
"2314",3
"4314",1
"261",3
"7210",1
"1602",3
"1906",3
"4393",1
"3051",3
"3784",2
"5015",3
"2602",2
"2556",3
"505",2
"571",3
"1760",2
"2",1
"7890",2
"1876",3
"4000",3
"5625",3
"3849",1
"2092",3
"2922",3
"171",3
"108",3
"81",1
"4266",3
"1079",3
"6727",3
"352",3
"3835",2
"7034",1
"1171",1
"6317",3
"7622",2
"2004",3
"1501",2
"3753",3
"7384",3
"3300",3
"3255",3
"2944",3
"7161",2
"4184",3
"6916",2
"5261",3
"1669",2
"3173",3
"7495",3
"429",3
"4418",3
"3476",1
"4535",3
"1739",3
"5351",3
"5332",3
"6786",1
"7037",1
"1487",2
"3179",3
"5125",3
"575",1
"238",2
"3435",3
"5883",3
"1985",2
"7782",1
"4090",2
"6129",3
"1114",3
"3983",3
"1318",3
"4951",3
"4582",3
"5256",3
"3629",3
"1849",2
"327",3
"6081",3
"6659",3
"7292",2
"2383",2
"614",2
"5991",2
"3016",2
"1096",2
"6796",3
"1331",3
"4223",2
"5180",3
"4506",2
"7794",3
"6400",1
"5638",3
"7171",3
"6161",3
"2531",3
"2720",3
"7791",3
"2066",3
"6193",3
"7222",3
"1972",1
"1992",1
"3827",1
"5546",1
"4070",3
"1851",3
"5881",3
"7048",3
"4292",3
"7988",3
"6689",3
"6230",3
"4411",3
"5509",3
"1395",3
"6772",3
"3264",1
"3586",3
"6433",2
"897",3
"4785",3
"4904",3
"2532",1
"5640",3
"5954",3
"475",1
"6017",2
"3061",3
"8092",3
"7319",1
"6291",3
"2618",1
"2020",3
"1235",3
"3555",3
"3922",3
"76",3
"2206",3
"8073",3
"693",3
"3881",1
"5855",3
"2569",3
"2012",2
"4461",3
"1160",3
"1424",3
"5105",1
"5478",3
"491",3
"7671",3
"3165",3
"399",3
"970",3
"5528",2
"4102",2
"510",3
"7757",3
"3655",3
"5386",1
"2780",3
"1260",2
"8192",1
"6349",3
"5642",3
"7475",1
"1157",3
"1650",3
"6537",1
"3218",3
"980",3
"4472",3
"4219",3
"4986",2
"3136",3
"7871",1
"2278",2
"7506",1
"5790",3
"3589",1
"1414",2
"1495",3
"107",3
"3719",3
"3423",3
"5524",1
"5734",3
"1707",1
"4731",2
"2133",2
"1938",2
"1450",3
"1465",3
"2655",3
"5629",2
"7202",2
"3615",1
"7339",2
"1528",3
"6794",3
"4632",2
"6837",1
"3184",3
"8156",3
"1193",3
"4381",3
"1583",3
"3063",3
"986",3
"2773",2
"5701",3
"4735",3
"7197",3
"3388",2
"7027",3
"7295",3
"5200",3
"355",3
"6381",3
"6144",3
"3536",3
"7658",3
"2657",2
"3024",1
"2331",2
"3744",3
"3150",2
"2798",1
"7755",2
"5467",3
"2697",1
"7114",1
"7885",2
"584",3
"2855",1
"649",3
"2938",3
"300",3
"4813",1
"7826",1
"4750",3
"2298",2
"4296",3
"2429",2
"3965",3
"1458",2
"5203",3
"3251",3
"4670",3
"1139",3
"1839",3
"3245",2
"6829",1
"7697",3
"1982",3
"883",3
"4642",3
"83",1
"5544",3
"7521",3
"2076",3
"2972",3
"668",3
"2370",2
"3015",1
"1393",3
"3957",3
"7364",3
"2424",1
"854",3
"6791",3
"1336",1
"423",3
"6250",3
"2968",2
"6495",3
"4153",1
"3118",3
"7483",1
"6149",3
"7706",3
"6208",2
"7744",3
"2256",1
"4541",3
"7545",1
"5316",3
"5664",3
"6594",3
"766",1
"676",2
"1641",3
"7368",3
"6247",1
"564",3
"5283",3
"2514",3
"3362",3
"816",3
"6980",3
"4958",3
"7657",1
"4226",3
"7919",3
"7689",1
"6799",1
"1024",1
"23",2
"4247",3
"4026",3
"5877",3
"3135",1
"660",3
"1347",2
"6068",3
"797",3
"3289",3
"8137",3
"4130",3
"7761",3
"7103",1
"220",3
"2981",3
"1252",3
"2810",1
"1877",3
"6547",2
"5668",3
"1370",3
"25",3
"7524",3
"1262",3
"5045",3
"2946",3
"7055",3
"2678",3
"7575",2
"1169",3
"1428",3
"4713",3
"5740",3
"6113",3
"7904",3
"5426",3
"180",3
"5987",3
"7239",3
"6579",1
"6923",3
"7424",3
"3304",2
"5298",2
"5077",3
"2535",2
"4048",1
"3854",3
"8180",3
"1198",3
"2374",2
"713",3
"7530",3
"7971",2
"7146",1
"63",1
"5568",3
"3216",3
"7554",1
"5234",3
"3956",3
"7306",3
"4216",3
"3506",3
"2674",2
"3900",1
"5020",1
"1536",1
"4972",1
"2909",3
"5161",3
"1521",1
"665",1
"484",2
"7155",3
"7320",3
"3142",3
"3326",1
"1285",3
"670",2
"463",3
"6622",3
"4161",3
"4853",3
"3831",3
"892",1
"1185",2
"388",3
"971",2
"6643",3
"7067",3
"5920",2
"7115",1
"451",3
"425",2
"836",3
"3981",3
"3067",1
"5698",3
"1774",3
"3584",3
"144",2
"4149",3
"8084",3
"4646",2
"3272",3
"2805",3
"3038",3
"7562",2
"4945",3
"648",3
"1818",3
"841",3
"5836",3
"4044",1
"1553",2
"7808",1
"1170",2
"4780",3
"4893",3
"5988",2
"1007",3
"502",1
"6591",3
"4343",1
"8006",2
"1074",3
"6217",1
"125",3
"7837",3
"6564",2
"6456",3
"8143",3
"5189",2
"6289",3
"3917",3
"678",3
"7681",1
"5703",3
"6202",3
"1732",2
"574",3
"1140",3
"7095",3
"4718",3
"2150",3
"3936",3
"5017",1
"1447",1
"4474",3
"1069",1
"3037",3
"7896",3
"115",3
"5823",3
"6417",3
"580",3
"1228",3
"3242",1
"7021",2
"2218",1
"6416",3
"2821",2
"4689",1
"6895",2
"2857",3
"6556",3
"809",3
"2152",3
"1232",3
"3896",3
"6023",3
"143",3
"6305",1
"1407",3
"4975",3
"2321",3
"2653",1
"7148",3
"4593",3
"2825",3
"7076",3
"3703",2
"7832",3
"1208",3
"4205",2
"1003",2
"7111",3
"6024",1
"4324",3
"6003",3
"8002",2
"1127",3
"1315",1
"6917",3
"3335",3
"70",3
"9",2
"7209",3
"2209",3
"4537",3
"3793",1
"1706",3
"7783",3
"598",1
"2453",3
"2807",1
"7777",2
"5939",1
"4809",3
"807",3
"7163",2
"5729",3
"4285",3
"1733",3
"4390",3
"2621",3
"6370",3
"5811",3
"6380",3
"7641",1
"7066",2
"3737",1
"6369",3
"1130",2
"6774",2
"5410",1
"2730",3
"3466",2
"2786",3
"5596",3
"3380",3
"4066",2
"7558",3
"288",2
"401",3
"2925",1
"2892",3
"2232",3
"4740",3
"4641",3
"6401",3
"1541",2
"3535",1
"1075",1
"1624",2
"5769",3
"5801",2
"2830",2
"7724",3
"3230",3
"4789",1
"3273",2
"2547",1
"3311",2
"3355",1
"2759",1
"5771",2
"4364",2
"1722",3
"91",2
"6525",3
"5325",1
"7371",2
"7327",3
"6954",2
"2492",3
"2094",1
"4621",1
"2156",1
"467",2
"2325",1
"6929",3
"4608",1
"395",3
"5482",3
"4372",3
"3445",3
"8124",3
"2364",3
"7634",1
"298",2
"336",3
"1843",3
"6677",3
"7869",1
"4603",3
"5318",1
"4990",3
"3750",1
"6843",3
"4116",3
"5909",1
"4181",3
"5330",1
"4984",3
"5057",3
"6939",3
"793",3
"224",2
"7722",3
"2466",1
"6546",3
"7735",3
"8069",3
"4732",2
"4760",3
"1914",2
"2196",3
"6052",3
"3327",3
"6322",3
"5808",1
"1738",1
"748",3
"6378",3
"1073",1
"3170",3
"4948",2
"4210",2
"823",3
"5926",3
"2502",3
"2307",3
"3947",3
"4779",2
"295",1
"5349",1
"5370",1
"3491",3
"3524",3
"6486",3
"2769",3
"4327",3
"2086",1
"1067",2
"6951",2
"2632",3
"6294",1
"7260",3
"6126",2
"3700",3
"3209",2
"7674",3
"6722",1
"4875",2
"3286",3
"375",3
"7586",1
"5618",3
"1497",3
"213",1
"5522",1
"430",1
"7493",3
"6306",3
"7516",3
"2876",3
"3660",2
"8109",3
"6742",3
"4288",1
"6544",3
"260",3
"1981",1
"679",3
"7711",2
"237",1
"5134",3
"1690",2
"5868",3
"949",3
"2124",1
"5965",3
"3806",3
"7887",2
"8027",2
"3579",3
"6914",2
"8162",2
"6476",1
"1776",3
"6968",2
"1072",3
"1040",3
"6704",3
"2470",3
"5677",3
"7284",2
"5686",3
"3407",3
"3223",3
"8184",3
"2335",3
"2557",2
"3565",1
"2544",3
"4117",3
"5068",3
"495",1
"2615",3
"5217",2
"283",3
"7897",1
"984",1
"593",1
"4636",2
"725",3
"7326",3
"1550",3
"2565",2
"2611",3
"137",2
"1699",2
"7552",3
"3071",2
"2622",1
"2911",2
"1184",2
"7439",3
"5802",1
"7028",3
"129",3
"6698",2
"5666",1
"3276",3
"1686",1
"7347",3
"4971",1
"1574",3
"7250",3
"7719",2
"5671",3
"110",3
"8133",3
"4156",1
"1473",3
"4310",1
"5558",2
"7984",1
"2054",2
"4663",3
"1004",2
"2402",3
"523",2
"3528",3
"4765",2
"2666",1
"6225",3
"3442",1
"4924",2
"2484",3
"4590",3
"7016",3
"3413",3
"7471",3
"6515",1
"826",3
"6063",3
"4763",3
"3526",3
"4230",2
"337",3
"5208",3
"8161",1
"2279",3
"5000",3
"1361",1
"1360",2
"5463",2
"1741",1
"1861",2
"1858",3
"6160",2
"5745",3
"3531",2
"5289",3
"3205",3
"4817",3
"5471",3
"6520",1
"3403",3
"7652",3
"3088",2
"6953",3
"560",3
"2581",2
"2707",3
"2026",3
"7474",3
"139",3
"1695",3
"6711",1
"4889",2
"789",3
"6639",3
"2888",3
"2048",1
"2783",2
"3422",3
"2497",1
"6079",3
"7714",1
"1651",2
"1396",3
"4749",3
"6687",3
"1564",1
"6873",3
"3065",3
"6206",3
"4034",3
"5279",3
"7434",1
"3959",3
"2796",3
"2049",2
"2221",3
"3477",2
"7673",3
"3684",3
"3003",3
"6285",3
"1934",2
"5153",3
"2731",2
"8197",3
"5903",3
"3511",3
"978",3
"7527",3
"5433",2
"5893",3
"444",3
"7153",1
"1494",1
"5704",3
"7690",2
"1637",1
"4274",3
"6248",3
"5193",3
"4392",3
"6156",3
"5285",3
"5012",3
"26",1
"4172",3
"7010",3
"112",2
"4427",3
"7343",3
"840",3
"1577",2
"5923",3
"4121",1
"4008",2
"6961",3
"3997",2
"4434",3
"5137",2
"3580",1
"2290",2
"263",3
"4605",3
"477",3
"1149",3
"7143",3
"1212",3
"7845",3
"2139",3
"3944",1
"5257",2
"2136",3
"2614",3
"6266",1
"3303",3
"3815",3
"3428",3
"6877",2
"6950",3
"3331",3
"3611",3
"6050",2
"379",3
"4840",3
"1113",1
"4772",3
"8056",3
"3976",3
"5735",3
"2636",3
"989",3
"3258",2
"6880",3
"1798",1
"3913",2
"4433",3
"7692",1
"4160",3
"7823",3
"8159",2
"4053",1
"1850",3
"2549",3
"4059",3
"2157",3
"2597",3
"5586",3
"4190",3
"2979",3
"4231",3
"5382",3
"3141",3
"5752",2
"167",3
"529",3
"7087",2
"200",2
"3000",3
"3221",2
"3499",3
"2711",1
"3419",3
"6139",3
"3005",2
"3296",3
"509",3
"55",1
"6797",1
"6681",3
"7461",3
"6319",3
"8154",2
"2006",1
"687",3
"5210",1
"6751",1
"5472",3
"6920",1
"3912",3
"1725",2
"7736",3
"8071",1
"5375",1
"7131",1
"6834",3
"5992",3
"539",3
"3009",1
"4341",1
"5778",2
"3739",2
"1596",2
"1613",2
"2964",2
"1546",2
"6818",2
"3755",2
"7959",3
"2747",3
"5061",1
"4824",3
"3989",3
"6143",1
"6883",3
"2033",3
"5313",3
"5786",3
"3347",3
"7280",3
"7241",3
"3050",2
"7293",3
"7538",1
"4828",1
"7601",3
"3564",2
"4554",2
"7350",3
"1279",2
"2142",3
"6025",1
"690",3
"4344",1
"4370",3
"1376",2
"1426",3
"4827",2
"1827",1
"5274",3
"8004",2
"4379",2
"6673",3
"3796",3
"6390",1
"4558",3
"1097",1
"6341",2
"4142",3
"7025",3
"6362",3
"86",1
"2036",3
"2813",2
"7362",3
"1921",3
"955",3
"7080",3
"7058",3
"4276",2
"1967",1
"1728",1
"5785",3
"4616",3
"5312",3
"4968",1
"2691",1
"2115",1
"3921",3
"5708",1
"1112",3
"5321",1
"1543",1
"2291",2
"4294",1
"1558",1
"2886",2
"2868",3
"2186",3
"8141",2
"7054",3
"5273",3
"3842",2
"5936",1
"7738",3
"4788",3
"2087",2
"3548",3
"5549",1
"3052",3
"2286",3
"5827",3
"3672",3
"5226",3
"1804",1
"2078",2
"1104",2
"5984",2
"5633",3
"4614",3
"3591",3
"228",3
"3340",3
"1236",3
"4955",3
"4879",3
"8094",3
"1606",2
"1488",3
"6982",1
"4736",3
"4961",1
"7566",3
"4328",3
"7617",3
"7662",2
"7253",1
"3099",2
"5841",3
"4979",3
"2483",3
"1756",3
"5773",2
"3070",3
"6033",1
"2755",3
"5513",3
"579",1
"5637",3
"3032",2
"6334",3
"6517",2
"3642",1
"7529",3
"4509",2
"7151",3
"6930",1
"894",3
"1463",3
"2548",1
"5614",3
"6616",1
"4195",3
"1180",3
"3712",2
"506",2
"2085",1
"6059",3
"3410",2
"5403",2
"4119",2
"4148",3
"1688",3
"5031",1
"3839",3
"527",3
"6379",3
"6553",3
"2815",1
"53",1
"2712",3
"6196",3
"4320",2
"4854",1
"7541",1
"1462",3
"4629",1
"7824",3
"7005",3
"6710",1
"4698",3
"291",2
"6703",3
"3078",3
"1721",2
"2610",2
"4597",2
"6450",3
"1966",1
"785",2
"7876",2
"4123",2
"4728",2
"994",2
"4974",2
"6748",3
"5078",3
"7847",1
"1953",1
"1871",3
"172",3
"90",3
"1687",2
"1142",3
"54",2
"7564",3
"7450",3
"2296",3
"314",1
"354",2
"2213",1
"8173",3
"6056",1
"4849",3
"3100",3
"7011",3
"1923",2
"6841",3
"7018",3
"3254",3
"4333",3
"2852",1
"205",2
"4980",2
"1523",3
"5556",3
"5652",3
"5814",3
"859",3
"1281",1
"6469",2
"4679",2
"4157",3
"5126",3
"5601",2
"791",3
"4256",3
"603",2
"7168",1
"7265",3
"3333",3
"1398",3
"7588",1
"6483",1
"3568",1
"7144",3
"5355",3
"6299",2
"7989",3
"903",3
"4488",1
"1263",3
"5409",3
"4826",3
"1660",3
"5753",2
"4894",3
"398",2
"8066",2
"7478",1
"6764",1
"8044",2
"1767",3
"4598",1
"6112",3
"5143",3
"4403",1
"2765",3
"4745",2
"4455",3
"7790",3
"7972",3
"957",3
"7918",1
"7121",3
"7612",3
"4484",1
"6382",3
"4725",3
"6987",2
"4122",1
"5613",3
"2181",3
"4016",3
"7412",1
"1708",3
"7281",3
"2058",3
"6359",3
"3002",3
"3195",3
"7154",1
"4569",3
"2226",1
"4128",3
"4676",3
"5320",2
"359",3
"761",1
"760",3
"4413",3
"2696",3
"4067",2
"3053",3
"1593",1
"7934",3
"4169",3
"6696",3
"5025",3
"3471",3
"6438",2
"2788",3
"57",2
"2195",3
"6756",1
"623",3
"2190",3
"765",1
"1925",2
"1453",2
"4316",2
"4613",3
"1181",2
"5212",3
"4666",2
"838",3
"3279",2
"3197",3
"277",3
"754",3
"5288",2
"4436",3
"2734",3
"2935",3
"7935",3
"4041",2
"1117",2
"6715",1
"6267",3
"596",2
"3968",3
"2859",3
"1848",3
"5272",3
"7643",3
"4776",1
"5235",3
"5672",3
"5488",1
"441",3
"5902",2
"6514",2
"168",3
"1796",2
"3113",3
"5119",1
"330",2
"704",3
"6093",3
"206",2
"4050",3
"6324",3
"2958",3
"6585",2
"4188",3
"3726",2
"1922",3
"656",2
"4365",3
"5593",2
"2738",3
"2430",3
"162",3
"3966",3
"6801",3
"134",3
"8199",3
"6528",3
"2987",2
"3859",3
"6235",3
"7190",3
"8171",3
"727",3
"2442",3
"5900",1
"6497",3
"304",3
"448",1
"684",3
"5553",3
"5536",2
"6218",3
"3704",3
"4580",3
"730",3
"5172",3
"4490",1
"2914",3
"3371",2
"886",3
"2473",2
"4428",1
"7263",3
"6375",3
"88",1
"3406",3
"6741",3
"778",2
"1083",2
"6827",3
"6874",1
"3851",2
"5006",1
"7533",1
"7768",1
"6176",3
"7238",3
"3619",3
"4322",1
"559",3
"7920",3
"4938",3
"404",3
"2318",3
"8090",3
"4010",3
"5163",1
"5164",3
"4007",3
"5358",3
"3313",3
"6549",3
"4579",3
"3522",1
"2330",3
"4113",3
"775",3
"6759",3
"4176",2
"1402",2
"7715",2
"2751",2
"6592",3
"6142",3
"1672",3
"8021",3
"1493",3
"2716",2
"5377",2
"7943",2
"827",3
"4773",1
"2835",1
"3678",2
"691",3
"5876",3
"2899",3
"2427",1
"979",2
"3941",1
"2045",3
"1917",3
"2326",2
"7294",2
"1332",3
"78",3
"1045",1
"7589",3
"1926",3
"5026",1
"6047",3
"1611",2
"722",3
"5916",3
"6096",3
"5953",3
"7358",3
"7627",3
"2260",1
"1713",1
"2410",3
"1147",3
"3808",3
"625",3
"8202",2
"2762",1
"5921",3
"5813",1
"8203",3
"3519",3
"4143",3
"8023",2
"3605",3
"2870",3
"1800",2
"3426",3
"607",3
"913",2
"5083",2
"815",1
"4496",3
"4269",1
"7277",3
"5339",3
"3248",3
"590",3
"6942",2
"4361",1
"2211",3
"364",3
"3280",3
"1306",2
"3779",2
"3409",3
"1863",3
"7165",2
"7031",3
"6936",1
"4932",3
"5458",2
"3402",3
"5401",3
"203",3
"2916",1
"3972",2
"4336",3
"7425",3
"1434",3
"5847",3
"6523",3
"1016",3
"1188",3
"5589",3
"2381",3
"1417",2
"4175",3
"6204",2
"7325",3
"3358",2
"179",2
"5087",2
"411",3
"1202",3
"2419",2
"428",3
"5107",2
"1100",3
"1359",2
"6091",3
"5173",1
"5146",3
"4786",1
"3336",3
"3609",2
"5444",3
"4251",3
"7580",2
"2687",3
"4084",3
"3797",1
"643",3
"7551",1
"7477",1
"6610",2
"1737",2
"2015",3
"6368",3
"3970",3
"1293",2
"7700",3
"5461",3
"3658",3
"2082",3
"106",3
"6903",3
"3816",3
"1517",3
"1621",1
"2901",3
"4833",2
"3858",3
"6163",3
"6956",2
"243",1
"7333",1
"6086",2
"498",2
"2804",2
"3416",1
"7479",1
"2982",3
"1897",2
"2496",2
"3848",3
"5840",3
"731",3
"6619",3
"7382",3
"5224",3
"3638",3
"4634",2
"466",2
"7090",3
"4570",3
"2141",1
"5789",3
"5760",2
"3810",3
"1179",3
"1998",1
"2659",1
"6333",1
"2646",3
"3277",3
"1832",1
"6070",1
"2858",3
"7240",2
"2758",3
"4993",3
"3275",3
"1718",1
"3348",2
"3646",3
"6389",2
"3787",2
"1017",1
"3108",3
"2756",3
"2175",3
"4793",3
"7962",1
"3312",1
"2449",3
"555",3
"3995",3
"7637",1
"1302",1
"2235",3
"7787",3
"1105",3
"3718",3
"6335",3
"3833",3
"1840",2
"6777",3
"4185",3
"6740",3
"7453",1
"7267",3
"1989",3
"7691",3
"5650",3
"2684",3
"3695",2
"3346",2
"4815",1
"6630",2
"1854",3
"5100",1
"3790",3
"1009",3
"3869",3
"3274",3
"7403",3
"1808",3
"1151",3
"5468",3
"6988",3
"5357",1
"976",3
"189",3
"6833",3
"7683",2
"7069",3
"4665",2
"5505",3
"4716",3
"6506",2
"2137",1
"2757",3
"1539",3
"5225",2
"1326",3
"8191",3
"993",2
"5510",1
"1346",2
"3022",3
"4564",3
"4859",3
"3804",3
"6670",3
"7354",3
"696",3
"2629",3
"7289",2
"6783",3
"7892",1
"14",3
"7113",3
"374",3
"6188",3
"3882",3
"860",3
"3293",2
"7041",2
"3756",3
"159",1
"7771",2
"350",3
"3109",3
"7464",3
"6533",3
"1019",2
"6944",1
"2356",3
"2887",3
"8155",1
"6531",3
"3420",3
"119",3
"7827",3
"3146",3
"3594",3
"4717",1
"4450",2
"5928",1
"6632",3
"6884",3
"5609",3
"7889",2
"7473",3
"1680",2
"7264",1
"3715",1
"7571",3
"745",3
"1900",2
"7512",3
"804",1
"2222",3
"1633",2
"2872",1
"5854",1
"4927",3
"4764",3
"920",2
"7075",1
"7907",2
"5569",1
"4575",3
"2055",3
"1400",3
"391",3
"2523",1
"1012",2
"3760",3
"7224",1
"5748",3
"2375",3
"5776",3
"6757",2
"2357",3
"3338",3
"2721",3
"5548",2
"1386",1
"464",2
"1894",2
"7678",2
"2717",2
"6254",2
"2710",3
"6896",2
"7256",1
"1327",3
"650",3
"2271",3
"6567",3
"2940",3
"5981",3
"3546",3
"3929",1
"6603",1
"3599",2
"2559",2
"1408",3
"4477",3
"1460",3
"461",2
"6437",2
"1189",3
"541",3
"230",3
"7579",2
"2682",3
"6114",3
"2604",3
"1101",2
"6692",1
"4834",3
"7413",3
"2415",2
"5644",3
"6892",1
"7606",3
"293",3
"5434",1
"34",2
"7797",2
"3670",3
"4338",3
"899",3
"3427",2
"8060",3
"3630",2
"3693",2
"2018",3
"3091",3
"835",3
"2718",1
"2268",3
"1806",3
"3652",3
"1665",3
"5402",1
"2685",3
"4111",3
"5555",3
"6487",3
"3066",1
"6327",3
"3040",2
"3240",3
"2164",3
"1644",3
"4064",3
"6893",3
"3153",3
"7150",3
"5483",3
"2616",3
"2960",1
"5692",2
"3680",2
"8100",3
"6743",3
"2161",1
"7169",3
"2918",3
"3343",3
"6363",1
"5423",3
"3780",3
"2480",3
"8046",2
"1474",1
"2508",2
"7903",1
"3365",3
"1668",3
"6128",2
"3666",1
"6560",2
"104",3
"3749",2
"2537",1
"7568",3
"6445",3
"13",1
"43",2
"1000",3
"7991",3
"6171",1
"7592",2
"774",3
"682",3
"4319",2
"7496",1
"394",3
"6185",3
"6957",3
"7015",3
"1943",3
"1392",3
"3772",1
"240",3
"5099",3
"5443",3
"747",3
"1372",1
"5494",2
"3001",2
"368",2
"5678",3
"4991",3
"1933",1
"3271",3
"6462",1
"2148",1
"2039",1
"2001",3
"12",3
"7468",1
"1120",3
"1882",3
"3041",3
"3482",3
"6175",2
"2517",3
"1615",1
"1427",2
"3196",3
"1301",3
"6350",1
"5299",2
"828",3
"3977",3
"6467",3
"7116",3
"2546",3
"8052",3
"1277",3
"6313",2
"869",3
"6804",2
"4298",3
"2105",3
"5352",1
"3681",1
"7423",2
"7332",1
"1627",3
"6501",3
"1299",3
"870",3
"3631",3
"935",1
"1857",3
"3857",3
"5293",1
"2570",3
"6042",2
"6",3
"1250",3
"5848",3
"4476",3
"317",1
"5098",3
"7602",1
"95",3
